install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;
5445;8074;1369;608;580;
5669;8129;1369;608;580;
6088;8555;1369;608;580;
5572;8794;1369;608;580;
5693;8589;1369;608;580;
5686;8266;1369;608;580;
5828;8722;1369;608;580;
5904;8745;1369;608;580;
5885;8594;1369;608;580;
6072;8805;1369;608;580;
5948;8088;1369;608;580;
5744;7919;1369;608;580;
5588;8371;1369;608;580;
5701;8454;1369;608;580;
5812;8172;1369;608;580;
5500;8129;1369;608;580;
5951;8549;1369;608;580;
6058;8403;1369;608;580;
5237;8164;1369;608;580;
5558;8203;1369;608;580;
5796;8592;1369;608;580;
5422;8329;1369;608;580;
6244;8475;1369;608;580;
5895;8156;1369;608;580;
6251;8469;1369;608;580;
5869;8579;1369;608;580;
5608;8007;1369;608;580;
5772;8293;1369;608;580;
5599;8504;1369;608;580;
5847;8423;1369;608;580;
5765;8491;1369;608;580;
5681;8469;1369;608;580;
5950;8549;1369;608;580;
5608;8071;1369;608;580;
5612;7907;1369;608;580;
6421;8712;1369;608;580;
5849;8645;1369;608;580;
5419;8333;1369;608;580;
5592;8133;1369;608;580;
5741;8311;1369;608;580;
5698;8444;1369;608;580;
6036;8575;1369;608;580;
5800;8660;1369;608;580;
5890;8410;1369;608;580;
6171;8264;1369;608;580;
5666;8351;1369;608;580;
5678;8295;1369;608;580;
6638;8525;1369;608;580;
6059;8345;1369;608;580;
5740;8239;1369;608;580;
5740;8177;1369;608;580;
5810;8270;1369;608;580;
6124;8357;1369;608;580;
5751;8016;1369;608;580;
5621;8474;1369;608;580;
5745;8254;1369;608;580;
5805;8182;1369;608;580;
5618;8115;1369;608;580;
5473;8568;1369;608;580;
5904;8091;1369;608;580;
5974;8071;1369;608;580;
5516;8438;1369;608;580;
5669;8107;1369;608;580;
5737;8657;1369;608;580;
5663;7931;1369;608;580;
5458;8351;1369;608;580;
5609;8595;1369;608;580;
5602;8466;1369;608;580;
5747;8127;1369;608;580;
5651;7801;1369;608;580;
5791;8011;1369;608;580;
5491;7970;1369;608;580;
5307;7839;1369;608;580;
5820;8435;1369;608;580;
5350;7958;1369;608;580;
5693;8004;1369;608;580;
5616;8070;1369;608;580;
5312;7858;1369;608;580;
5380;8339;1369;608;580;
6129;8250;1369;608;580;
5786;8154;1369;608;580;
5418;7870;1369;608;580;
5371;7966;1369;608;580;
5458;7761;1369;608;580;
5147;8429;1369;608;580;
5617;8241;1369;608;580;
6093;8617;1369;608;580;
5743;8189;1369;608;580;
5907;8185;1369;608;580;
5894;8171;1369;608;580;
5347;7895;1369;608;580;
5446;7890;1369;608;580;
5295;8172;1369;608;580;
6020;8064;1369;608;580;
5980;8069;1369;608;580;
5283;8163;1369;608;580;
5690;8444;1369;608;580;
5474;8515;1369;608;580;
5751;7992;1369;608;580;
5811;8488;1369;608;580;
5918;8347;1369;608;580;
5507;8178;1369;608;580;
6353;8503;1369;608;580;
5937;8014;1369;608;580;
5737;8136;1369;608;580;
5576;8879;1369;608;580;
5948;8459;1369;608;580;
5966;8123;1369;608;580;
5957;8010;1369;608;580;
5992;8415;1369;608;580;
5798;8102;1369;608;580;
5451;8002;1369;608;580;
5998;8521;1369;608;580;
6643;8254;1369;608;580;
5404;7892;1369;608;580;
5594;8157;1369;608;580;
5530;8106;1369;608;580;
6141;8238;1369;608;580;
6069;9060;1369;608;580;
5925;8400;1369;608;580;
5956;8709;1369;608;580;
6143;8647;1369;608;580;
6038;8390;1369;608;580;
5410;8350;1369;608;580;
5511;8036;1369;608;580;
6016;8702;1369;608;580;
5497;8083;1369;608;580;
5691;8090;1369;608;580;
6007;8193;1369;608;580;
5749;8101;1369;608;580;
5556;8098;1369;608;580;
5761;8177;1369;608;580;
5729;8437;1369;608;580;
5845;8248;1369;608;580;
5600;8292;1369;608;580;
5956;8226;1369;608;580;
5939;8458;1369;608;580;
5772;8594;1369;608;580;
5642;8146;1369;608;580;
6130;8579;1369;608;580;
6228;8614;1369;608;580;
5885;8429;1369;608;580;
5650;8248;1369;608;580;
5995;8036;1369;608;580;
6254;8842;1369;608;580;
5847;8396;1369;608;580;
5798;8328;1369;608;580;
5948;8730;1369;608;580;
5946;8404;1369;608;580;
5613;8433;1369;608;580;
5884;8519;1369;608;580;
6258;8156;1369;608;580;
5539;8451;1369;608;580;
5621;8421;1369;608;580;
6343;8771;1369;608;580;
6450;8904;1369;608;580;
5812;8532;1369;608;580;
6226;8627;1369;608;580;
6030;8446;1369;608;580;
6156;8646;1369;608;580;
5827;8551;1369;608;580;
6214;8487;1369;608;580;
6283;9278;1369;608;580;
6179;8397;1369;608;580;
5686;8654;1369;608;580;
5756;8397;1369;608;580;
5883;8448;1369;608;580;
5995;8357;1369;608;580;
6469;8871;1369;608;580;
5786;8418;1369;608;580;
6212;8573;1369;608;580;
5773;8495;1369;608;580;
5816;8298;1369;608;580;
5809;8178;1369;608;580;
6226;8645;1369;608;580;
5870;8842;1369;608;580;
5934;8502;1369;608;580;
6335;8579;1369;608;580;
5972;8588;1369;608;580;
5820;8490;1369;608;580;
5650;8465;1369;608;580;
6502;9426;1369;608;580;
6127;8511;1369;608;580;
6195;9053;1369;608;580;
6026;8693;1369;608;580;
5968;8584;1369;608;580;
6146;8553;1369;608;580;
6012;8809;1369;608;580;
6177;8537;1369;608;580;
5854;8543;1369;608;580;
6354;8808;1369;608;580;
5934;8698;1369;608;580;
5616;8521;1369;608;580;
6535;8762;1369;608;580;
5523;8729;1369;608;580;
5776;8644;1369;608;580;
6332;8477;1369;608;580;
6127;8563;1369;608;580;
5881;8743;1369;608;580;
6231;9031;1369;608;580;
6032;8618;1369;608;580;
5617;8164;1369;608;580;
5516;8204;1369;608;580;
5893;8655;1369;608;580;
5486;8086;1369;608;580;
5876;8751;1369;608;580;
5927;8958;1369;608;580;
6749;8484;1369;608;580;
5970;8455;1369;608;580;
6453;8284;1369;608;580;
5758;8626;1369;608;580;
6001;8495;1369;608;580;
5955;8598;1369;608;580;
5873;8644;1369;608;580;
6137;9362;1369;608;580;
6213;8298;1369;608;580;
6235;8442;1369;608;580;
6478;9109;1369;608;580;
6223;8412;1369;608;580;
6390;8332;1369;608;580;
5404;8262;1369;608;580;
5750;8313;1369;608;580;
5779;8659;1369;608;580;
5820;8036;1369;608;580;
6167;8440;1369;608;580;
6347;8385;1369;608;580;
5959;8299;1369;608;580;
6307;8763;1369;608;580;
6187;8800;1369;608;580;
5927;8996;1369;608;580;
6255;8671;1369;608;580;
5758;8565;1369;608;580;
6084;8135;1369;608;580;
5821;8169;1369;608;580;
5947;8372;1369;608;580;
5780;8196;1369;608;580;
6222;8528;1369;608;580;
5833;8639;1369;608;580;
5679;8078;1369;608;580;
5677;8336;1369;608;580;
5659;8044;1369;608;580;
6001;8421;1369;608;580;
6320;8770;1369;608;580;
5417;8251;1369;608;580;
5808;8374;1369;608;580;
5839;8310;1369;608;580;
5601;8359;1369;608;580;
5947;8335;1369;608;580;
5995;8091;1369;608;580;
5805;8603;1369;608;580;
5984;8218;1369;608;580;
5751;8144;1369;608;580;
6012;7910;1369;608;580;
5683;8224;1369;608;580;
5723;7938;1369;608;580;
6478;8919;1369;608;580;
6417;9026;1369;608;580;
5557;8383;1369;608;580;
6166;8444;1369;608;580;
6154;8481;1369;608;580;
5813;8189;1369;608;580;
5946;8689;1369;608;580;
5594;8619;1369;608;580;
5972;8852;1369;608;580;
5770;8510;1369;608;580;
5848;8296;1369;608;580;
5815;8543;1369;608;580;
6456;8388;1369;608;580;
5877;8593;1369;608;580;
5565;8047;1369;608;580;
5391;8275;1369;608;580;
5836;8744;1369;608;580;
6010;8493;1369;608;580;
5992;8236;1369;608;580;
6181;8647;1369;608;580;
6452;9003;1369;608;580;
5497;8335;1369;608;580;
5592;8459;1369;608;580;
5829;8083;1369;608;580;
5809;8184;1369;608;580;
6352;8441;1369;608;580;
5861;8039;1369;608;580;
5522;8610;1369;608;580;
5709;8140;1369;608;580;
5544;8455;1369;608;580;
5692;8509;1369;608;580;
6170;8955;1369;608;580;
6060;8422;1369;608;580;
5484;8192;1369;608;580;
5758;8209;1369;608;580;
5485;8522;1369;608;580;
6195;8381;1369;608;580;
5520;8332;1369;608;580;
5944;9297;1369;608;580;
6042;8627;1369;608;580;
5895;8722;1369;608;580;
6159;8816;1369;608;580;
5755;8501;1369;608;580;
