svelte-yarn;svelte-kit-yarn;react-yarn;react-vite-yarn;react-next-yarn;vue-yarn;vue-nuxt-yarn;angular-yarn;svelte-build;svelte-kit-build;react-build;react-vite-build;react-next-build;vue-build;vue-nuxt-build;angular-build;svelte-build-size;svelte-kit-build-size;react-build-size;react-vite-build-size;react-next-build-size;vue-build-size;vue-nuxt-build-size;angular-build-size
;;;;;;;;1463;5505;8058;4866;19006;7304;7003;24515;28;124;548;164;396;684;184;204
;;;;;;;;1471;5585;8008;4895;19406;7291;7245;25133;28;124;548;164;396;684;184;204
;;;;;;;;1460;5615;8025;4891;19141;7287;7063;24903;28;124;548;164;396;684;184;204
;;;;;;;;1450;5553;8050;5060;20477;7288;7175;24735;28;124;548;164;396;684;184;204
;;;;;;;;1479;5453;7909;4881;19404;7235;6962;24997;28;124;548;164;396;684;184;204
;;;;;;;;1449;5603;8265;5068;19517;7348;7244;24591;28;124;548;164;396;684;184;204
;;;;;;;;1484;5737;8222;4917;19364;7083;7366;24511;28;124;548;164;396;684;184;204
;;;;;;;;1521;5649;8144;4775;18944;7412;7139;25456;28;124;548;164;396;684;184;204
;;;;;;;;1480;5571;8195;4927;19680;7529;7447;25641;28;124;548;164;396;684;184;204
;;;;;;;;1499;5525;8144;4937;19384;7385;7140;24911;28;124;548;164;396;684;184;204
;;;;;;;;1485;5625;8423;5044;18494;7142;7172;24192;28;124;548;164;396;684;184;204
;;;;;;;;1555;5634;8376;4895;18955;7453;7143;24283;28;124;548;164;396;684;184;204
;;;;;;;;1572;5657;8375;5008;19370;7283;7338;25404;28;124;548;164;396;684;184;204
;;;;;;;;1441;5566;8014;5010;23701;7126;7280;25128;28;124;548;164;396;684;184;204
;;;;;;;;1420;5498;8424;5156;19432;7342;7086;24781;28;124;548;164;396;684;184;204
;;;;;;;;1433;5555;8071;5055;19274;7311;6967;25348;28;124;548;164;396;684;184;204
;;;;;;;;1415;5446;8058;4793;19045;7361;7056;24836;28;124;548;164;396;684;184;204
;;;;;;;;1427;5385;7946;4914;19710;7239;7068;24840;28;124;548;164;396;684;184;204
;;;;;;;;1432;5787;8055;4986;18771;7289;7085;24775;28;124;548;164;396;684;184;204
;;;;;;;;1461;5623;7969;4809;19643;7503;7200;25268;28;124;548;164;396;684;184;204
;;;;;;;;1475;5589;8107;4856;19104;7220;7057;24432;28;124;548;164;396;684;184;204
;;;;;;;;1527;5725;8464;5042;19178;7690;6959;24382;28;124;548;164;396;684;184;204
;;;;;;;;1479;5529;8146;4721;19046;7112;7412;24851;28;124;548;164;396;684;184;204
;;;;;;;;1534;5728;8197;4914;19155;7422;7347;24855;28;124;548;164;396;684;184;204
;;;;;;;;1477;5415;7846;4744;18421;6977;7098;25389;28;124;548;164;396;684;184;204
;;;;;;;;1528;5492;8079;4696;19190;7219;7137;25007;28;124;548;164;396;684;184;204
;;;;;;;;1506;5956;8409;5215;19585;7383;7342;25303;28;124;548;164;396;684;184;204
;;;;;;;;1525;6044;8249;4929;19443;7277;7253;26108;28;124;548;164;396;684;184;204
;;;;;;;;1478;5931;8310;4957;20081;7410;7295;25557;28;124;548;164;396;684;184;204
;;;;;;;;1509;6045;8091;4968;19144;7039;7674;25934;28;124;548;164;396;684;184;204
;;;;;;;;1514;5755;8362;4962;19525;7373;7249;24925;28;124;548;164;396;684;184;204
;;;;;;;;1430;5670;8242;4869;19533;7247;6873;25261;28;124;548;164;396;684;184;204
;;;;;;;;1481;5697;8205;5005;20109;7503;7342;25113;28;124;548;164;396;684;184;204
;;;;;;;;1435;5522;7830;4878;18937;7127;7226;25027;28;124;548;164;396;684;184;204
;;;;;;;;1513;5789;8284;5254;19112;7142;7160;26258;28;124;548;164;396;684;184;204
;;;;;;;;1536;5716;8190;5082;19018;7159;7327;24957;28;124;548;164;396;684;184;204
;;;;;;;;1477;5639;8301;4866;19561;7270;7367;25272;28;124;548;164;396;684;184;204
;;;;;;;;1462;5425;8111;4889;19678;7091;7282;25399;28;124;548;164;396;684;184;204
;;;;;;;;1432;5533;8083;4938;20268;7264;7099;25213;28;124;548;164;396;684;184;204
;;;;;;;;1472;5535;8325;4703;19526;7232;7241;25108;28;124;548;164;396;684;184;204
;;;;;;;;1472;5542;7966;4836;18965;7312;7507;25216;28;124;548;164;396;684;184;204
;;;;;;;;1498;5426;8004;4779;18402;7332;7242;24880;28;124;548;164;396;684;184;204
;;;;;;;;1470;5549;8015;4766;18555;7087;7125;24717;28;124;548;164;396;684;184;204
;;;;;;;;1531;5622;8383;4833;19567;7331;7023;24701;28;124;548;164;396;684;184;204
;;;;;;;;1388;5388;7985;4880;19511;7069;6764;24101;28;124;548;164;396;684;184;204
;;;;;;;;1399;5387;7788;4875;18737;7098;6994;24743;28;124;548;164;396;684;184;204
;;;;;;;;1467;5547;8164;4919;18257;7326;7220;25335;28;124;548;164;396;684;184;204
;;;;;;;;1475;5511;8066;4891;19136;7340;7191;24901;28;124;548;164;396;684;184;204
;;;;;;;;1449;5493;7895;4831;18268;7139;7040;24222;28;124;548;164;396;684;184;204
;;;;;;;;1414;5411;8029;4762;19013;7257;7373;24700;28;124;548;164;396;684;184;204
;;;;;;;;1467;5487;8081;5036;18925;7329;7163;25219;28;124;548;164;396;684;184;204
;;;;;;;;1433;5368;8018;4809;18528;7245;7023;24642;28;124;548;164;396;684;184;204
;;;;;;;;1491;5607;8165;4910;19138;7127;6776;25261;28;124;548;164;396;684;184;204
;;;;;;;;1444;5675;7981;4985;19310;7081;6897;24552;28;124;548;164;396;684;184;204
;;;;;;;;1567;5437;8056;5006;19094;7212;7029;24484;28;124;548;164;396;684;184;204
