svelte_with_browser_chromium;svelte_with_browser_firefox;svelte_with_browser_webkit;svelte-kit_with_browser_chromium;svelte-kit_with_browser_firefox;svelte-kit_with_browser_webkit;react_with_browser_chromium;react_with_browser_firefox;react_with_browser_webkit;react-vite_with_browser_chromium;react-vite_with_browser_firefox;react-vite_with_browser_webkit;react-next_with_browser_chromium;react-next_with_browser_firefox;react-next_with_browser_webkit;vue_with_browser_chromium;vue_with_browser_firefox;vue_with_browser_webkit;vue-nuxt_with_browser_chromium;vue-nuxt_with_browser_firefox;vue-nuxt_with_browser_webkit;angular_with_browser_chromium;angular_with_browser_firefox;angular_with_browser_webkit
14827;14580;14693;14263;14860;13816;15233;15302;15363;15627;15436;15615;15954;15818;15676;15673;15027;15142;14646;15308;14967;15431;15683;15726
14502;15009;14490;14747;14827;15234;15692;15725;15592;15525;15446;15632;15930;15846;15409;14721;15150;14885;14402;15205;15206;15586;15616;15446
14447;14697;14314;13741;14823;14923;15137;15800;15507;15488;15620;15774;15987;15603;15655;15179;14952;15019;15132;15210;15068;15509;15364;15673
14952;14461;14893;15199;15063;14180;15625;15857;15858;15166;15291;15963;15920;15625;15715;15058;14490;15202;15335;15170;15066;15780;15712;15723
14544;14455;14022;14803;14832;14998;15943;15862;15497;15797;15788;15906;15746;15789;16047;15141;14436;14273;14838;15374;14954;15819;15712;15414
14473;14088;14789;14373;14839;14047;15671;15486;15424;15774;15694;15477;15522;15925;15704;14603;15049;15052;14807;15093;15378;15778;15549;15297
14209;14898;14436;14968;14210;14549;15630;15418;15786;16043;15922;15520;15468;15841;15715;14550;15022;15104;14966;15157;14759;15309;15395;15459
14278;14318;14578;15020;14670;15133;15814;15313;15639;15908;15822;15686;15944;15907;15459;14732;15399;15457;15265;14330;14932;15807;15355;16045
15163;14815;15012;14670;14849;15068;15617;15377;15432;15863;15523;15947;16139;15768;15544;15507;14931;14980;14835;14957;13763;15342;15407;15551
14462;14544;14608;15022;14837;14427;15296;16024;15883;15702;15766;15675;15639;15588;15401;14623;15466;15144;14280;15063;14914;15344;15893;15524
14481;14933;14724;14261;14776;15043;15387;15878;15820;15885;15773;15402;15737;15843;15997;15345;15585;15076;15328;15281;15153;15463;15365;15918
14404;14596;14815;14950;14576;14365;15743;15744;15946;15532;15197;15807;15936;15745;15883;14288;14551;14660;14268;14247;14164;15209;15055;15428
13865;13866;13870;14193;13855;13721;15251;15288;15370;15267;15337;15047;15299;15414;15254;14301;14172;14151;14288;14223;14283;15350;15329;15157
14151;13820;14159;13876;13944;13956;15228;15488;15196;15036;15092;15139;15220;15483;15318;14421;14202;14314;14024;14190;13971;15332;15231;15174
