svelte-yarn;svelte-kit-yarn;react-yarn;react-vite-yarn;react-next-yarn;vue-yarn;vue-nuxt-yarn;angular-yarn;svelte-build;svelte-kit-build;react-build;react-vite-build;react-next-build;vue-build;vue-nuxt-build;angular-build;svelte-build-size;svelte-kit-build-size;react-build-size;react-vite-build-size;react-next-build-size;vue-build-size;vue-nuxt-build-size;angular-build-size
428;387;1132;382;563;750;774;928;1537;5945;8268;5187;19410;8081;7606;25524;28;124;548;164;396;684;184;204
389;379;1162;377;580;749;770;929;1676;6006;8280;5143;19499;8051;7665;25718;28;124;548;164;396;684;184;204
382;405;1158;388;573;768;787;912;1570;5872;8257;5224;20860;8018;7632;25526;28;124;548;164;396;684;184;204
378;395;1186;375;559;760;773;916;1514;5892;8269;5177;20079;7928;7561;25506;28;124;548;164;396;684;184;204
371;386;1175;385;567;756;761;922;1514;5834;8213;5189;24779;7926;7506;25364;28;124;548;164;396;684;184;204
384;390;1165;382;553;759;774;913;1501;5848;8195;5263;19471;7929;7657;25213;28;124;548;164;396;684;184;204
385;393;1193;396;552;793;778;928;1579;5858;8265;5156;19280;8009;7615;25651;28;124;548;164;396;684;184;204
372;393;1163;399;557;780;790;918;1537;5859;8199;5187;20034;7903;7672;25170;28;124;548;164;396;684;184;204
370;381;1181;385;570;742;780;918;1533;5855;8225;5145;19827;7910;7570;25557;28;124;548;164;396;684;184;204
383;384;1157;389;553;754;782;926;1511;5814;8184;5215;19320;7858;7582;25177;28;124;548;164;396;684;184;204
383;401;1164;411;554;745;775;914;1536;5882;8225;5191;19477;7926;7599;25335;28;124;548;164;396;684;184;204
389;383;1145;373;557;754;782;904;1564;5928;8282;5164;19492;7952;7664;25561;28;124;548;164;396;684;184;204
374;397;1173;390;569;764;769;897;1594;5880;8195;5198;19252;8011;7601;25363;28;124;548;164;396;684;184;204
380;410;1153;381;571;758;755;910;1525;6275;8226;5214;19362;7972;7597;25583;28;124;548;164;396;684;184;204
397;386;1195;379;569;756;788;904;1723;5860;8211;5156;19495;7966;7575;25196;28;124;548;164;396;684;184;204
379;390;1186;373;557;758;774;913;1538;5926;8222;5166;19363;7899;7623;25469;28;124;548;164;396;684;184;204
407;393;1163;378;564;750;794;914;1541;5883;8202;5148;19482;7884;7524;25713;28;124;548;164;396;684;184;204
418;407;1144;373;579;776;753;887;1583;5898;8193;5229;19650;7970;7543;25414;28;124;548;164;396;684;184;204
425;412;1159;393;563;770;803;909;1587;5887;8243;5256;19641;7880;7633;25694;28;124;548;164;396;684;184;204
386;381;1163;389;557;763;789;908;1516;5865;8264;5193;19321;7965;7670;25682;28;124;548;164;396;684;184;204
381;390;1145;372;559;770;796;924;1514;5874;8238;5179;19657;7936;7492;25537;28;124;548;164;396;684;184;204
372;399;1146;392;546;761;759;902;1543;5888;8305;5205;19246;8025;7488;25354;28;124;548;164;396;684;184;204
369;398;1166;382;576;819;789;900;1561;5936;8179;5222;19676;7924;7702;25670;28;124;548;164;396;684;184;204
376;387;1185;378;571;757;760;894;1598;5866;8228;5380;19215;8085;7645;25163;28;124;548;164;396;684;184;204
