svelte_with_browser_chromium;svelte_with_browser_firefox;svelte_with_browser_webkit;svelte-kit_with_browser_chromium;svelte-kit_with_browser_firefox;svelte-kit_with_browser_webkit;react_with_browser_chromium;react_with_browser_firefox;react_with_browser_webkit;react-vite_with_browser_chromium;react-vite_with_browser_firefox;react-vite_with_browser_webkit;react-next_with_browser_chromium;react-next_with_browser_firefox;react-next_with_browser_webkit;vue_with_browser_chromium;vue_with_browser_firefox;vue_with_browser_webkit;vue-nuxt_with_browser_chromium;vue-nuxt_with_browser_firefox;vue-nuxt_with_browser_webkit;angular_with_browser_chromium;angular_with_browser_firefox;angular_with_browser_webkit
14391;13924;14121;14188;14175;14234;15218;15101;14906;14926;14971;15094;15161;15394;15323;14612;14835;14497;14650;14427;14685;15350;15162;15344
14207;13934;14036;14008;14014;14039;15429;15054;15411;15294;15329;15293;15431;15402;15325;;14427;14485;14645;14430;14047;15392;14876;15420
14789;13944;14162;14061;14148;14274;15313;15197;15224;15243;15287;15288;15460;15468;15467;14468;14509;14802;14666;14504;14803;15497;15200;15340
14499;14067;14219;13943;14078;14087;15143;15280;15187;15214;15407;15146;15448;15378;15373;14446;14405;14577;14385;14615;14352;15468;15367;15352
14482;14237;13952;14285;14132;14383;15231;15319;15309;15456;15119;15298;15220;15527;14855;14678;14490;14476;14502;14377;14437;15340;15485;15245
14308;13998;14160;14509;14122;14099;15077;15444;15392;15230;15149;15272;15275;15452;15310;14870;14611;14550;14012;14555;14367;15224;15185;15541
14277;14076;14127;14189;14243;14023;15169;15375;15303;15393;15283;15225;15483;15123;15347;14241;14415;14170;14535;14582;14239;15149;15392;14867
14761;13609;13948;14372;14129;14033;15433;15217;15163;15256;15123;15159;15482;15431;14991;14645;14114;14681;14691;14444;14671;15248;15532;15479
14901;14151;13923;14371;14051;14409;14475;15206;15253;15101;15416;14641;15424;15447;15318;14696;14446;14296;14509;14403;14521;15557;15374;15443
14253;14118;14167;13960;14149;14189;15198;15437;15167;15343;15131;15256;15390;15291;15456;14619;14577;14301;14502;14498;14495;15493;15263;15479
14288;14159;14058;14229;14169;14005;15349;15266;15259;15253;15391;15293;15363;15353;15370;14551;14526;14544;14712;14597;14622;15374;15354;15295
14335;14265;14008;14163;14100;14117;15289;15232;15397;15320;15325;15446;15297;15321;15425;14389;14701;14548;14670;14733;14456;15491;15460;15447
14098;13984;13901;14133;14177;14060;15164;15332;15420;15329;15235;15295;15421;15272;15256;14367;14413;14467;14552;14571;14593;15395;15321;15487
14321;13963;13899;14095;14028;13971;15231;15340;14974;15175;15161;15185;15107;15374;15310;14487;14352;14312;14792;14397;14351;14783;15312;14871
15060;14028;14204;14355;14207;13638;15227;15259;15300;15194;14440;15276;15370;15560;15439;14526;14380;14534;14769;14573;14509;15404;15200;15451
14870;14406;13988;14088;14069;14053;15323;14684;15221;15180;15258;15258;15416;15334;15396;14625;14429;14520;14518;14282;14447;15309;15370;15369
14349;13967;14116;14317;14262;14317;15336;15033;15283;15408;15280;15246;15372;15175;15340;14349;14324;14587;14634;14539;14629;15376;15219;15113
14216;14187;14281;14185;14327;14100;15217;15197;15215;15275;15173;15234;15276;15274;15347;14411;14362;14480;14509;14710;14652;15248;15327;15244
14655;13954;13986;13791;14020;14166;15127;15210;15216;15405;15267;15248;15357;15459;15382;14370;14381;14478;14613;14563;14366;15345;15307;15267
14486;14050;14058;14142;14042;14092;15274;15083;15295;15279;14721;15269;15250;15489;14980;14485;14412;14443;14107;14290;;15421;15249;14992
15082;13712;14110;14212;14081;14223;15340;15314;15008;15381;15359;15388;15356;15371;15455;14559;14503;14665;14475;14445;14384;15381;14369;15325
14577;14044;14029;14324;14322;14186;15309;15322;15379;15378;15298;15193;15479;15442;15360;14512;14535;14561;14530;14451;14586;15349;15450;15309
14327;14158;14195;14365;14269;13919;15397;15393;15345;15332;15315;15208;15508;15332;15427;14521;14749;14478;14542;14437;14650;15422;15443;15499
14362;14207;14031;14124;14202;14174;15014;15293;15388;15356;15293;15174;15517;15365;15501;14366;14627;14691;14586;14654;14496;15606;15268;15439
14169;13921;13848;14119;14287;14079;15191;15361;15242;15294;15255;15220;15505;15405;15293;14611;14365;14621;14759;14656;14671;15474;15480;15244
14079;13809;14002;14302;14179;14081;15378;15311;15351;15126;15377;15195;15303;15397;15220;14357;14520;14532;14736;14548;14484;15444;15395;15375
14249;14000;14026;14091;14250;14037;15287;14955;15210;15379;15221;15334;15646;15464;15372;14722;14530;14498;14605;14602;14728;15568;15188;15456
14586;14059;13961;14079;14232;14304;15317;15141;15318;15504;15250;15127;15384;15421;15440;14355;14479;14379;14558;14435;14292;15392;15266;15311
15340;13864;13907;14005;14126;14088;15310;15326;15365;15256;15353;15407;15357;15477;15269;14386;14558;14600;14541;14531;14361;15381;15250;15393
14434;14029;14010;14323;14167;14227;15351;15252;15181;15271;15038;15180;15319;15490;15537;14457;14208;14607;14238;14668;14695;15428;15208;15407
14442;14030;14122;14218;14107;14194;15303;15340;15271;15291;15099;15381;15496;15374;15390;14668;14387;14290;14435;14304;14484;15317;15487;15337
14950;14149;13943;14169;14175;14239;15357;15376;15372;15273;15358;15200;15385;15336;15441;14508;14411;14589;14661;14245;14450;15284;15360;15291
14617;14157;13960;14180;13749;14133;15220;15370;15295;15322;15300;14778;15356;15327;15273;14655;14570;14481;14550;14251;14602;15146;15379;15064
;14241;14115;14409;14113;14238;15408;14987;15248;15404;15481;15418;15402;15428;15421;14447;14519;14521;14536;14591;14548;15334;15351;15408
14342;14065;14023;14379;14153;14007;15261;15319;15168;15136;15106;15347;15404;15369;15168;14328;14381;14412;14668;14538;14653;15424;15404;15468
14600;14178;14100;14245;14067;14137;15280;15273;15245;15437;15280;15364;15386;15506;15193;14576;14347;14477;14884;14832;14455;15370;15477;15546
14484;14119;13947;14305;14191;14204;15198;15335;15231;15157;15348;15157;15440;15374;15416;14257;14347;14386;14650;14399;14693;15512;15421;15546
14283;13988;14011;14234;14182;14226;15435;15342;15314;15282;15386;15460;15527;15164;15414;14552;14417;14435;14422;14653;14732;15330;15452;15511
14100;13917;14187;14084;14172;14132;15410;15446;14938;15395;15197;15226;15348;15441;15372;14605;14517;14653;14778;14612;14771;15349;15289;15390
14352;14078;14038;;14146;14197;15190;15364;15215;15260;15220;15374;15200;15484;15414;14390;14470;13695;14706;14470;14523;15263;15365;15490
14299;13510;14111;14144;14366;14313;15075;15251;15271;15246;15178;15376;15457;15215;15521;14355;14274;14531;14728;14478;14446;15276;15183;15456
15371;13945;14022;14422;14189;14205;15359;15358;15335;15185;15226;15216;15145;15315;15302;14645;14299;14504;14832;14551;14642;15496;15184;15471
14451;14058;14022;14051;14127;14184;15336;15287;15186;15319;15329;15234;15412;15330;15464;14519;14582;14577;14711;14582;14655;15416;15265;15255
14416;14194;13991;14062;13933;14206;15305;15316;15142;15335;15146;15154;15510;15357;15397;14467;14429;14393;14490;14625;14561;15406;15378;15424
14120;14124;14015;14037;13941;14424;15336;15290;15215;15290;15004;15314;15274;15306;15479;14648;14458;14327;14713;14650;14732;15477;15370;15352
14552;13911;13944;14342;14289;14249;15377;14603;15285;15117;14872;15238;15354;15404;15452;14541;14676;14610;14916;14445;14571;15164;15395;15554
14631;14090;13897;14247;13938;14052;15249;15177;15413;15274;15231;15208;15355;15438;15200;14276;14461;14577;14902;14563;14573;15363;15347;15058
