svelte-yarn;svelte-kit-yarn;react-yarn;react-vite-yarn;react-next-yarn;vue-yarn;vue-nuxt-yarn;angular-yarn;svelte-build;svelte-kit-build;react-build;react-vite-build;react-next-build;vue-build;vue-nuxt-build;angular-build;svelte-build-size;svelte-kit-build-size;react-build-size;react-vite-build-size;react-next-build-size;vue-build-size;vue-nuxt-build-size;angular-build-size
;;;;;;;;928;3340;4625;2912;13061;4593;4228;16033;28;124;548;164;396;684;184;204
;;;;;;;;840;3404;4866;2854;11537;4575;4275;15628;28;124;548;164;396;684;184;204
;;;;;;;;900;3324;4675;2890;12969;4608;4275;15725;28;124;548;164;396;684;184;204
;;;;;;;;856;3367;4688;2855;12295;4506;4263;15912;28;124;548;164;396;684;184;204
;;;;;;;;845;3380;4664;2858;11883;4553;4459;15815;28;124;548;164;396;684;184;204
;;;;;;;;871;3339;4689;2913;12384;4533;4305;16053;28;124;548;164;396;684;184;204
;;;;;;;;853;3387;4636;2848;11654;4541;4266;15990;28;124;548;164;396;684;184;204
;;;;;;;;850;3377;4668;2827;11527;4551;4273;15918;28;124;548;164;396;684;184;204
;;;;;;;;902;3509;4679;2856;11429;4638;4290;15897;28;124;548;164;396;684;184;204
;;;;;;;;877;3283;4661;2911;11674;4526;4282;15882;28;124;548;164;396;684;184;204
;;;;;;;;863;3312;4663;2897;11678;4531;4318;15677;28;124;548;164;396;684;184;204
;;;;;;;;851;3403;4692;2829;11321;4722;4379;15924;28;124;548;164;396;684;184;204
;;;;;;;;852;3430;4656;2931;11893;4651;4290;16057;28;124;548;164;396;684;184;204
;;;;;;;;869;3343;4692;2912;11421;4579;4303;15762;28;124;548;164;396;684;184;204
;;;;;;;;858;3364;4629;2862;11387;4618;4301;15813;28;124;548;164;396;684;184;204
;;;;;;;;842;3416;4832;2835;11952;4579;4276;15749;28;124;548;164;396;684;184;204
;;;;;;;;847;3387;4688;2887;11927;4602;4250;15760;28;124;548;164;396;684;184;204
;;;;;;;;848;3318;4664;2913;11684;4610;4296;16012;28;124;548;164;396;684;184;204
;;;;;;;;863;3331;4649;2842;11628;4560;4479;15889;28;124;548;164;396;684;184;204
;;;;;;;;854;3345;4692;2810;11525;4610;4274;16116;28;124;548;164;396;684;184;204
;;;;;;;;897;3355;4670;2862;11499;4564;4234;15859;28;124;548;164;396;684;184;204
;;;;;;;;863;3313;4907;2927;11456;4611;4267;15843;28;124;548;164;396;684;184;204
;;;;;;;;857;3388;4817;2878;11462;4451;4268;15874;28;124;548;164;396;684;184;204
;;;;;;;;852;3386;4731;2812;11543;4501;4255;15906;28;124;548;164;396;684;184;204
;;;;;;;;842;3376;4648;2890;12800;4606;4281;15871;28;124;548;164;396;684;184;204
;;;;;;;;893;3326;4608;2921;11515;4525;4476;15662;28;124;548;164;396;684;184;204
;;;;;;;;865;3321;4664;2846;11501;4609;4404;16019;28;124;548;164;396;684;184;204
;;;;;;;;865;3381;4702;2826;12253;4613;4268;15936;28;124;548;164;396;684;184;204
;;;;;;;;875;3329;4662;2886;11820;4581;4332;15893;28;124;548;164;396;684;184;204
;;;;;;;;863;3364;4864;2859;11439;4611;4310;15618;28;124;548;164;396;684;184;204
;;;;;;;;844;3371;4844;3014;12854;4570;4260;15791;28;124;548;164;396;684;184;204
;;;;;;;;888;3323;4694;2944;11487;4605;4350;15728;28;124;548;164;396;684;184;204
;;;;;;;;882;3336;4601;2952;11460;4578;4418;15883;28;124;548;164;396;684;184;204
;;;;;;;;859;3386;4631;2870;11488;4602;4281;15952;28;124;548;164;396;684;184;204
;;;;;;;;849;3379;4679;2834;11381;4571;4203;15685;28;124;548;164;396;684;184;204
;;;;;;;;856;3383;4702;2899;11873;4591;4396;15874;28;124;548;164;396;684;184;204
;;;;;;;;901;3280;4893;2917;11501;4574;4326;15835;28;124;548;164;396;684;184;204
;;;;;;;;858;3420;4653;2872;11540;4487;4310;15733;28;124;548;164;396;684;184;204
;;;;;;;;845;3423;4622;2818;11597;4715;4225;15612;28;124;548;164;396;684;184;204
;;;;;;;;845;3399;4677;2874;11843;4886;4368;16382;28;124;548;164;396;684;184;204
;;;;;;;;874;3331;4669;2920;11872;4521;4358;16041;28;124;548;164;396;684;184;204
;;;;;;;;854;3401;4712;2822;11490;4649;4227;15827;28;124;548;164;396;684;184;204
;;;;;;;;853;3564;4692;2874;11501;4552;4260;15848;28;124;548;164;396;684;184;204
;;;;;;;;910;3334;4796;2929;11494;4569;4308;15524;28;124;548;164;396;684;184;204
;;;;;;;;874;3294;4702;2909;12022;4591;4299;15876;28;124;548;164;396;684;184;204
;;;;;;;;842;3459;4655;2834;12069;4775;4287;15650;28;124;548;164;396;684;184;204
;;;;;;;;845;3363;4671;2892;11499;4581;4267;15859;28;124;548;164;396;684;184;204
;;;;;;;;915;3306;4736;2918;11429;4666;4304;16069;28;124;548;164;396;684;184;204
;;;;;;;;897;3323;4671;2857;13121;4556;4257;15717;28;124;548;164;396;684;184;204
;;;;;;;;850;3374;4667;2886;11514;4601;4283;15816;28;124;548;164;396;684;184;204
;;;;;;;;909;3357;4834;2908;11886;4609;4366;15758;28;124;548;164;396;684;184;204
;;;;;;;;861;3355;4675;2851;11655;4630;4301;15818;28;124;548;164;396;684;184;204
;;;;;;;;843;3377;4654;2861;11912;4756;4338;15794;28;124;548;164;396;684;184;204
;;;;;;;;897;3325;4713;2859;11923;4621;4304;16097;28;124;548;164;396;684;184;204
;;;;;;;;897;3375;4600;2966;11394;4587;4282;15755;28;124;548;164;396;684;184;204
;;;;;;;;847;3359;4641;2872;11427;4555;4301;15745;28;124;548;164;396;684;184;204
;;;;;;;;1007;3391;4699;2809;11504;4558;4258;15986;28;124;548;164;396;684;184;204
;;;;;;;;852;3408;4768;3032;12108;4579;4294;15618;28;124;548;164;396;684;184;204
;;;;;;;;870;3281;4665;2906;12158;4623;4332;15837;28;124;548;164;396;684;184;204
;;;;;;;;842;3355;4642;2842;11626;4750;4232;15748;28;124;548;164;396;684;184;204
;;;;;;;;856;3498;4674;2875;11849;4577;4234;15940;28;124;548;164;396;684;184;204
;;;;;;;;903;3353;4712;2926;11487;4541;4305;16114;28;124;548;164;396;684;184;204
;;;;;;;;881;3333;4636;2892;11548;4608;4296;15920;28;124;548;164;396;684;184;204
;;;;;;;;989;3404;4712;2830;11753;4615;4307;15805;28;124;548;164;396;684;184;204
;;;;;;;;837;3382;4691;2983;11468;4632;4306;15693;28;124;548;164;396;684;184;204
;;;;;;;;914;3319;4714;2932;12093;4654;4316;15889;28;124;548;164;396;684;184;204
;;;;;;;;854;3354;4703;2856;11459;4710;4287;15640;28;124;548;164;396;684;184;204
;;;;;;;;860;3509;4674;2818;11566;4579;4255;15872;28;124;548;164;396;684;184;204
;;;;;;;;848;3430;4645;2890;11456;4673;4226;15804;28;124;548;164;396;684;184;204
;;;;;;;;929;3340;4650;2920;11409;4630;4272;16005;28;124;548;164;396;684;184;204
;;;;;;;;919;3499;4649;2956;11892;4602;4351;18298;28;124;548;164;396;684;184;204
;;;;;;;;952;3672;5073;3089;12835;4944;4592;16923;28;124;548;164;396;684;184;204
;;;;;;;;884;3461;4914;3161;12395;4908;4408;16571;28;124;548;164;396;684;184;204
;;;;;;;;1005;3500;4995;3056;12303;4959;4899;17132;28;124;548;164;396;684;184;204
;;;;;;;;926;3548;4985;3051;12179;4956;4487;17006;28;124;548;164;396;684;184;204
;;;;;;;;902;3497;4873;3009;11979;5037;4654;16713;28;124;548;164;396;684;184;204
;;;;;;;;888;3524;4965;3021;12116;4996;4588;17171;28;124;548;164;396;684;184;204
;;;;;;;;883;3485;4906;3018;12224;4971;4401;17077;28;124;548;164;396;684;184;204
;;;;;;;;910;3495;4970;3053;12452;4927;4494;17074;28;124;548;164;396;684;184;204
;;;;;;;;904;3374;4911;3103;12159;4958;4462;16679;28;124;548;164;396;684;184;204
;;;;;;;;938;3462;5049;3085;12037;4968;4478;17003;28;124;548;164;396;684;184;204
;;;;;;;;901;3477;4998;3028;11923;4991;4601;16592;28;124;548;164;396;684;184;204
;;;;;;;;871;3581;4955;3170;12741;5038;4439;17310;28;124;548;164;396;684;184;204
;;;;;;;;896;3573;4969;2983;12056;4978;4485;16735;28;124;548;164;396;684;184;204
;;;;;;;;889;3508;4919;2996;12277;4999;4568;16919;28;124;548;164;396;684;184;204
;;;;;;;;924;3506;4892;3068;12029;5136;4410;17038;28;124;548;164;396;684;184;204
;;;;;;;;952;3532;4974;3108;11839;4960;4660;16693;28;124;548;164;396;684;184;204
;;;;;;;;882;3523;5014;3061;12117;4934;4615;16793;28;124;548;164;396;684;184;204
;;;;;;;;859;3542;4938;3012;12132;4953;4533;17178;28;124;548;164;396;684;184;204
;;;;;;;;883;3603;4892;3002;12939;4982;4582;16854;28;124;548;164;396;684;184;204
;;;;;;;;912;3547;4954;3047;12383;4833;4479;16923;28;124;548;164;396;684;184;204
;;;;;;;;897;3783;4981;2995;12728;4986;4467;16800;28;124;548;164;396;684;184;204
;;;;;;;;919;3522;5223;3032;12335;4967;4538;16698;28;124;548;164;396;684;184;204
;;;;;;;;936;3495;4927;3129;12381;4962;4474;17117;28;124;548;164;396;684;184;204
;;;;;;;;919;3591;4947;3078;12243;4941;4457;17050;28;124;548;164;396;684;184;204
;;;;;;;;987;3503;4942;3091;12129;4950;4607;16805;28;124;548;164;396;684;184;204
;;;;;;;;886;3587;4985;3066;12615;5048;4508;16506;28;124;548;164;396;684;184;204
;;;;;;;;858;3553;5014;3053;12670;4986;4578;16764;28;124;548;164;396;684;184;204
;;;;;;;;882;3533;5017;3090;12539;5023;4488;17395;28;124;548;164;396;684;184;204
;;;;;;;;901;3559;4925;2989;11989;5072;4634;17065;28;124;548;164;396;684;184;204
;;;;;;;;898;3550;4833;2973;12051;5016;4723;16966;28;124;548;164;396;684;184;204
;;;;;;;;926;3535;4959;3123;12019;4944;4515;16828;28;124;548;164;396;684;184;204
;;;;;;;;936;3715;4956;3063;11927;4913;4447;16727;28;124;548;164;396;684;184;204
;;;;;;;;925;3464;5095;3146;12087;5042;4543;17155;28;124;548;164;396;684;184;204
;;;;;;;;921;3576;4979;3046;12212;5003;4521;17031;28;124;548;164;396;684;184;204
;;;;;;;;889;3534;4915;2997;12444;4917;4559;16720;28;124;548;164;396;684;184;204
;;;;;;;;871;3535;5018;3018;12714;5210;4518;16846;28;124;548;164;396;684;184;204
;;;;;;;;918;3589;4976;3017;12111;5075;4656;16907;28;124;548;164;396;684;184;204
;;;;;;;;909;3468;5040;2982;12398;4907;4461;17107;28;124;548;164;396;684;184;204
;;;;;;;;910;3516;5056;3064;12162;5106;4461;17304;28;124;548;164;396;684;184;204
;;;;;;;;959;3602;4905;3033;12201;4927;4539;16871;28;124;548;164;396;684;184;204
;;;;;;;;917;3495;4951;3131;12406;4952;4463;16769;28;124;548;164;396;684;184;204
;;;;;;;;933;3559;4910;3147;12420;5022;4568;16912;28;124;548;164;396;684;184;204
;;;;;;;;953;3730;5006;3110;12259;5020;4448;16735;28;124;548;164;396;684;184;204
;;;;;;;;892;3581;4980;3299;12000;4961;4593;17248;28;124;548;164;396;684;184;204
;;;;;;;;880;3600;4970;3150;12152;4982;4448;16848;28;124;548;164;396;684;184;204
;;;;;;;;932;3508;4905;2956;12635;4998;4481;17026;28;124;548;164;396;684;184;204
;;;;;;;;884;3625;5019;3058;12613;5108;4566;16740;28;124;548;164;396;684;184;204
;;;;;;;;902;3523;4913;2953;12070;4996;4583;17150;28;124;548;164;396;684;184;204
;;;;;;;;896;3598;4955;3088;11960;5117;4484;16904;28;124;548;164;396;684;184;204
;;;;;;;;965;3442;5095;3041;12225;4947;4472;16844;28;124;548;164;396;684;184;204
;;;;;;;;952;3467;4967;3118;12347;5034;4516;17034;28;124;548;164;396;684;184;204
;;;;;;;;959;3501;5007;3130;12993;5275;4849;18001;28;124;548;164;396;684;184;204
;;;;;;;;928;3658;4977;3104;11985;4967;4493;16873;28;124;548;164;396;684;184;204
;;;;;;;;897;3711;4954;3048;12757;4888;4524;17233;28;124;548;164;396;684;184;204
;;;;;;;;924;3507;5138;3078;12130;4954;4495;16691;28;124;548;164;396;684;184;204
;;;;;;;;943;3579;4977;3107;12438;5067;4445;16757;28;124;548;164;396;684;184;204
;;;;;;;;982;3480;5052;3067;12138;5025;4529;16839;28;124;548;164;396;684;184;204
;;;;;;;;885;3516;4938;3048;12170;5077;4497;16888;28;124;548;164;396;684;184;204
;;;;;;;;876;3549;4913;2999;12627;5095;4756;16690;28;124;548;164;396;684;184;204
;;;;;;;;887;3542;4922;3017;11994;5014;4605;16987;28;124;548;164;396;684;184;204
;;;;;;;;905;3554;4975;3018;12608;4846;4503;17141;28;124;548;164;396;684;184;204
;;;;;;;;919;3473;4983;3063;12113;5132;4496;17245;28;124;548;164;396;684;184;204
;;;;;;;;937;3522;4964;3006;12072;5021;4438;17121;28;124;548;164;396;684;184;204
;;;;;;;;900;3431;4909;3108;12053;4969;4507;16909;28;124;548;164;396;684;184;204
1499;1892;16535;3613;21023;8790;8729;28399;965;3443;6185;2993;13491;4848;4511;17566;28;124;548;164;396;684;184;204
1818;1924;16779;1378;10504;21861;9801;28282;891;3659;6379;3193;12905;6474;4695;7168;28;124;548;164;396;684;184;204
1922;1915;21788;1338;11145;22948;10085;19748;947;6270;6446;3180;12465;5223;4843;9152;28;124;548;164;396;684;184;204
1838;1947;21637;1375;11349;8668;23707;20727;1003;4297;8179;3355;12947;5199;4662;7027;28;124;548;164;396;684;184;204
1986;1992;19149;1498;11049;25990;10485;29222;958;3589;6526;3174;12246;6899;4715;7069;28;124;548;164;396;684;184;204
1838;1894;21440;1412;12008;23140;11022;21189;955;5219;6621;3130;12285;5179;4677;9709;28;124;548;164;396;684;184;204
1736;1949;16722;1373;11538;21020;10586;31285;944;3605;6419;3118;14073;5235;4640;7035;28;124;548;164;396;684;184;204
1825;1994;16855;2983;21905;9685;10770;22584;959;3685;6497;3063;14536;5162;4628;7124;28;124;548;164;396;684;184;204
1830;2047;17848;1401;24722;8862;11102;29392;921;3675;6447;3293;14437;5209;4669;6865;28;124;548;164;396;684;184;204
2066;1887;17348;1402;10913;20195;9930;31009;890;3463;6216;2994;11747;5486;4553;6639;28;124;548;164;396;684;184;204
2475;2055;16613;1360;25544;9526;9877;31310;933;3445;6156;2889;12876;4824;4467;6596;28;124;548;164;396;684;184;204
2242;1941;17429;1386;27882;9969;10858;27537;873;3493;6096;2999;12662;4733;4645;6613;28;124;548;164;396;684;184;204
2150;1823;22564;1371;12233;23298;10708;29835;878;3635;6599;3208;13158;5821;4769;6704;28;124;548;164;396;684;184;204
2172;1891;20223;1346;10149;18005;10544;20138;867;6091;6357;2911;11756;4797;4489;7381;28;124;548;164;396;684;184;204
1933;1898;17502;1414;24265;10057;10728;22502;935;3584;6126;3017;13499;4956;4459;6616;28;124;548;164;396;684;184;204
2326;1890;19732;1387;12489;24485;10344;27441;917;3401;6180;2970;12112;5416;4511;6680;28;124;548;164;396;684;184;204
2732;1866;21482;1379;11257;23949;10641;26891;927;3441;6121;2966;12113;7035;4498;6503;28;124;548;164;396;684;184;204
2443;1884;28116;1387;11491;9475;22875;19849;929;4026;7892;3005;11879;4843;4452;7300;28;124;548;164;396;684;184;204
1994;1889;22063;1354;12407;9848;23310;21484;865;5564;6106;2995;11904;4799;4454;6725;28;124;548;164;396;684;184;204
